timestamp,xtime,event
17023234,209,80
17024676,43,36
17025294,35,85
17025674,43,88
17026860,49,81
17026946,79,87
17027231,135,80
17028676,43,36
17028731,36,83
17028781,28,84
17028819,19,86
17028848,15,85
17028942,63,82
17029676,42,88
17030861,19,81
17030938,78,87
17031228,134,80
17032676,43,36
17032731,33,83
17032778,28,84
17032816,19,86
17032845,15,85
17032943,450,82
17033675,44,88
17034860,19,81
17034938,84,87
17035227,134,80
17036676,43,36
17036731,33,83
17036778,88,84
17036876,58,38
17036945,64,82
17037020,136,86
17037166,25,85
17037705,43,88
17038831,19,81
17038937,86,87
17039228,199,80
17040684,43,36
17040739,36,83
17040789,36,84
17040834,20,86
17040863,16,85
17040942,751,82
17041704,43,88
17042829,53,81
17042937,91,87
17043227,188,80
17044684,43,36
17044739,33,83
17044786,94,84
17044890,44,38
17044945,67,82
17045024,156,86
17045190,24,85
17045699,74,88
17046845,56,81
17046937,90,87
17047227,199,80
17048686,43,36
17048742,38,83
17048794,30,84
17048833,19,86
17048862,16,85
17048942,469,82
17049674,77,88
17050829,53,81
17050937,94,87
17051226,177,80
17052682,44,36
17052738,36,83
17052787,92,84
17052888,46,38
17052945,67,82
17053024,154,86
17053188,25,85
17053677,43,88
17054875,47,81
17054958,102,87
17055226,163,80
17056678,44,36
17056734,38,83
17056786,34,84
17056830,28,86
17056868,16,85
17056942,67,82
17057681,43,88
17058875,47,81
17058959,96,87
17059226,183,80
17060687,43,36
17060742,33,83
17060788,33,84
17060831,19,86
17060860,16,85
17060942,63,82
17061681,43,88
17062829,46,81
17062937,90,87
17063227,170,80
17064687,43,36
17064743,36,83
17064793,32,84
17064835,19,86
17064864,19,85
17064942,63,82
17065681,43,88
17066829,46,81
17066937,95,87
17067227,170,80
17068678,44,36
17068734,37,83
17068784,33,84
17068827,19,86
17068856,16,85
17068942,450,82
17069674,45,88
17070829,46,81
17070937,93,87
17071227,193,80
17072686,43,36
17072741,34,83
17072789,91,84
17072890,44,38
17072945,72,82
17073028,152,86
17073190,25,85
17073681,43,88
17074829,50,81
17074937,88,87
17075227,170,80
17076690,43,36
17076745,39,83
17076797,33,84
17076840,19,86
17076869,15,85
17076942,840,82
17077793,56,88
17078829,46,81
17078937,93,87
17079227,166,80
17080681,43,36
17080736,43,83
17080792,92,84
17080893,41,38
17080945,64,82
17081020,156,86
17081186,24,85
17081692,43,88
17082875,47,81
17082959,99,87
17083232,184,80
17084682,44,36
17084738,39,83
17084791,33,84
17084833,19,86
17084862,16,85
17084942,457,82
17085674,45,88
17086831,50,81
17086937,90,87
17087227,149,80
17088678,44,36
17088734,37,83
17088785,91,84
17088886,48,38
17088945,64,82
17089020,156,86
17089186,25,85
17089681,43,88
17090831,19,81
17090937,89,87
17091228,159,80
17092688,43,36
17092743,35,83
17092791,33,84
17092834,19,86
17092863,16,85
17092942,676,82
17093674,45,88
17094831,47,81
17094937,93,87
17095227,168,80
17096682,43,36
17096738,34,83
17096785,91,84
17096886,48,38
17096945,64,82
17097020,149,86
17097179,24,85
17097681,43,88
17098837,60,81
17098937,88,87
17099227,201,80
17100682,44,36
17100738,35,83
17100787,33,84
17100830,19,86
17100859,15,85
17100942,468,82
17101674,45,88
17102881,49,81
17102967,104,87
17103235,162,80
17104686,44,36
17104742,33,83
17104788,91,84
17104889,45,38
17104945,64,82
17105020,152,86
17105182,24,85
17105697,42,88
17106875,62,81
17106973,99,87
17107236,159,80
17108678,44,36
17108734,35,83
17108783,33,84
17108825,19,86
