timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
16995954,2,-1,0,14,0,0,1,0,0,0,0,0,0,0
25360287,2,0,1,14,0,0,1,0,0,0,0,0,0,0
31097279,2,1,2,14,0,0,1,0,0,0,0,0,0,0
37626261,2,2,3,14,0,0,1,0,0,0,0,0,0,0
41041831,2,3,4,14,0,0,1,0,0,0,0,0,0,0
45157198,2,4,5,14,0,0,1,0,0,0,0,0,0,0
54951029,2,5,6,14,0,0,1,0,0,0,0,0,0,0
63446243,2,6,7,14,0,0,1,0,0,0,0,0,0,0
74397805,2,7,8,14,0,0,1,0,0,0,0,0,0,0
91111403,2,8,9,14,0,0,1,0,0,0,0,0,0,0
98965397,2,9,10,14,0,0,1,0,0,0,0,0,0,0
124022529,2,10,11,14,0,0,1,0,0,0,0,0,0,0
146174991,2,11,12,14,0,0,1,0,0,0,0,0,0,0
154695243,2,12,13,14,0,0,1,0,0,0,0,0,0,0
170174766,2,13,13,14,0,0,1,0,0,0,0,0,0,0
184791950,2,13,13,14,0,0,1,0,1,0,0,0,0,0
185571214,3,-1,0,14,0,0,1,0,0,0,0,0,0,0
