timestamp,xtime,event
16977683,103,87
16978421,517,82
16978950,87,84
16979364,232,80
16980817,134,86
16980963,25,85
16983427,36,83
16985325,48,81
16985686,108,87
16986421,663,82
16987096,78,84
16987369,154,80
16988818,134,86
16988964,25,85
16991426,37,83
16993325,48,81
16993698,107,87
16994423,63,82
16994522,26,84
16995371,205,80
16995689,477,72
16996821,21,86
16996899,17,85
16999428,35,83
17001329,47,81
17001686,121,87
17002425,729,82
17003165,79,84
17003368,155,80
17004823,298,86
17005133,26,85
17007429,37,83
17009341,19,81
17009686,106,87
17010423,528,82
17010963,94,84
17011368,226,80
17012803,191,86
17013006,36,85
17013928,66,88
17015426,37,83
17015716,47,88
17017337,51,81
17017686,112,87
17018431,771,82
17019213,88,84
17019381,244,80
17020838,194,86
17021044,24,85
17023427,36,83
17023717,47,88
17025337,49,81
17025704,115,87
17026421,535,82
17026968,93,84
17027370,201,80
17028836,194,86
17029042,24,85
17031427,37,83
17031716,44,88
17033337,52,81
17033688,112,87
17034423,733,82
17035168,78,84
17035368,187,80
17036838,197,86
17037047,25,85
17039428,35,83
17039714,44,88
17041337,49,81
17041690,111,87
17042433,511,82
17042955,104,84
17043368,205,80
17044838,193,86
17045043,25,85
17047430,37,83
17047714,48,88
17049337,47,81
17049701,112,87
17050421,489,82
17050921,140,84
17051368,192,80
17052836,190,86
17053038,24,85
17055426,37,83
17055716,44,88
17057337,50,81
17057691,111,87
17058421,876,82
17059309,51,36
17059374,203,80
17059587,56,84
17060838,189,86
17061039,25,85
17063429,37,83
17063716,44,88
17065337,52,81
17065689,113,87
17066434,477,82
17066923,89,84
17067368,203,80
17068836,189,86
17069037,25,85
17071429,35,83
17071716,44,88
17073337,49,81
17073691,111,87
17074424,740,82
17075176,87,84
17075368,180,80
17076838,193,86
17077043,25,85
17079429,36,83
17079714,48,88
17081337,47,81
17081687,112,87
17082422,485,82
17082919,78,84
17083368,213,80
17084794,181,86
17084987,36,85
17087429,37,83
17087723,44,88
17089337,49,81
17089683,131,87
17090431,705,82
17091148,134,84
17091367,200,80
17092838,189,86
17093039,25,85
17095429,35,83
17095714,44,88
17097337,49,81
17097683,115,87
17098424,623,82
17099059,78,84
17099368,182,80
17100836,190,86
17101038,24,85
17103429,37,83
17103716,44,88
17105337,50,81
17105683,115,87
17106424,686,82
17107122,110,84
17107368,208,80
17108838,189,86
17109039,25,85
17111429,37,83
17111719,44,88
17113348,49,81
17113702,115,87
17114430,478,82
17114919,79,84
17115368,201,80
17116836,189,86
17117037,25,85
17119429,37,83
17119716,44,88
17121337,52,81
17121685,115,87
17122423,477,82
17122911,79,84
17123368,186,80
17124836,189,86
17125037,25,85
17127429,37,83
17127719,48,88
17129337,49,81
17129683,115,87
17130421,686,82
17131119,125,84
17131368,203,80
17132838,190,86
17133040,24,85
17135429,37,83
17135719,44,88
17137337,49,81
17137692,115,87
17138436,477,82
17138925,89,84
17139368,203,80
17140838,189,86
17141039,25,85
17143429,35,83
17143716,44,88
17145337,49,81
17145683,115,87
17146423,624,82
17147058,126,84
17147368,193,80
17148836,189,86
17149037,25,85
17151429,37,83
17151716,44,88
17153337,49,81
17153683,115,87
17154424,685,82
17155121,125,84
17155368,196,80
17156838,197,86
17157047,25,85
17159429,37,83
17159719,44,88
17161337,49,81
17161683,115,87
17162421,488,82
17162921,79,84
17163368,203,80
17164809,202,86
17165023,25,85
17167429,37,83
17167719,44,88
17169338,50,81
17169698,114,87
17170424,477,82
17170912,79,84
17171368,183,80
17172838,189,86
17173039,25,85
17175429,37,83
17175719,44,88
17177337,63,81
17177696,115,87
17178421,686,82
17179119,78,84
17179368,204,80
17180839,189,86
17181040,25,85
17183429,36,83
17183719,44,88
17185337,49,81
17185683,114,87
17186421,477,82
17186910,78,84
17187367,205,80
17188836,189,86
17189037,25,85
17191429,37,83
17191720,44,88
17193337,49,81
17193683,114,87
17194421,478,82
17194910,79,84
17195374,186,80
17196838,189,86
17197039,25,85
17199429,35,83
17199719,44,88
17201337,51,81
17201685,115,87
17202421,686,82
17203119,78,84
17203368,217,80
17204836,193,86
17205041,24,85
17207429,37,83
17207719,44,88
17209337,49,81
17209683,114,87
17210430,477,82
17210919,78,84
17211367,221,80
17212838,190,86
17213040,24,85
17215429,37,83
17215720,207,72
17217337,51,81
17217685,114,87
17218428,633,82
17219073,78,84
17219369,228,80
17220836,189,86
17221037,25,85
17223451,38,83
17225337,49,81
17225683,117,87
17226421,686,82
17227119,78,84
17227369,273,80
17228838,193,86
17229043,25,85
17231434,38,83
17233337,52,81
17233686,115,87
17234426,489,82
17234926,90,84
17235368,257,80
17236838,189,86
17237039,25,85
17239424,69,83
17241337,49,81
17241683,115,87
17242424,477,82
17242912,79,84
17243368,232,80
17244838,194,86
17245044,29,85
17247469,57,83
17249337,49,81
17249687,118,87
17250421,686,82
17251118,79,84
17251369,260,80
17252838,189,86
17253039,25,85
17255463,36,83
17257337,49,81
17257683,115,87
17258421,477,82
17258910,78,84
17259368,259,80
17260836,189,86
17261037,25,85
17263426,107,83
17264857,67,88
17265341,49,81
17265695,117,87
17266424,476,82
17266912,79,84
17267368,217,80
17268836,189,86
17269037,25,85
17271426,36,83
17271718,82,88
17273337,49,81
17273683,115,87
17274424,685,82
17275121,78,84
17275372,200,80
17276838,190,86
17277040,24,85
17279424,37,83
17279719,58,88
17281337,49,81
17281683,115,87
17282421,170,82
17282602,29,84
17283364,222,80
17284836,31,86
17284879,16,85
17287426,35,83
17287718,47,88
17289337,47,81
17289696,109,87
17290421,938,34
17291372,190,80
17291574,342,82
17291926,88,84
17292839,193,86
17293044,25,85
17295424,36,83
17295720,44,88
17297337,49,81
17297683,115,87
17298421,615,82
17299048,78,84
17299368,269,80
17300836,193,86
17301041,25,85
17303426,37,83
17303719,57,88
17305337,49,81
17305683,115,87
17306427,705,82
17307144,78,84
17307368,202,80
17308838,190,86
17309040,24,85
17311427,37,83
17311719,56,88
17313349,49,81
17313702,115,87
17314426,480,82
17314917,79,84
17315368,196,80
17316836,189,86
17317037,25,85
17319424,37,83
17319719,56,88
17321337,51,81
17321685,114,87
17322424,472,82
17322908,78,84
17323368,182,80
17324845,193,86
17325050,25,85
17327426,37,83
17327716,91,88
17329337,49,81
17329683,115,87
17330426,63,82
17330525,32,84
17331367,224,80
17332836,31,86
17332879,16,85
17335424,34,83
17335714,43,88
17337337,50,81
17337683,110,87
17338424,694,82
