timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
17953933,2,-1,0,6,0,0,1,0,0,0,0,0,0,0
26006127,2,-1,0,6,0,0,1,0,0,0,0,0,0,0
26217424,2,0,1,6,0,0,1,0,0,0,0,0,0,0
31904518,2,1,2,6,0,0,1,0,0,0,0,0,0,0
38244866,2,2,3,6,0,0,1,0,0,0,0,0,0,0
42355019,2,3,4,6,0,0,1,0,0,0,0,0,0,0
46482775,2,4,5,6,0,0,1,0,0,0,0,0,0,0
50707914,2,5,5,6,0,0,1,0,0,0,0,0,0,0
60069661,2,5,5,6,0,0,1,0,1,0,0,0,0,0
60537020,3,-1,0,6,0,0,1,0,0,0,0,0,0,0
