timestamp,id
17957480,7
17959201,0
17960656,4
17960810,1
17962407,2
17962482,6
17962492,5
17965321,8
17965409,3
17965485,7
17967201,0
17968656,4
17968812,1
17970407,2
17970483,6
17970508,5
17973321,8
17973425,3
17973448,7
17975201,0
17976656,4
17976810,1
17978408,2
17978483,6
17978493,5
17981321,8
17981408,3
17981480,7
17983201,0
17984655,4
17984810,1
17986407,2
17986482,6
17986492,5
17989321,8
17989408,3
17989480,7
17991201,0
17992655,4
17992810,1
17994407,2
17994483,6
17994493,5
17997321,8
17997408,3
17997480,7
17999201,0
18000655,4
18000810,1
18002407,2
18002483,6
18002493,5
18005321,8
18005408,3
18005480,7
18007201,0
18008655,4
18008810,1
18010417,2
18010492,6
18010502,5
18013321,8
18013408,3
18013480,7
18015201,0
18016655,4
18016810,1
18018407,2
18018484,6
18018494,5
18021321,8
18021408,3
18021480,7
18023201,0
18024656,4
18024810,1
18026407,2
18026483,6
18026493,5
18029321,8
18029408,3
18029480,7
18031201,0
18032655,4
18032810,1
18034407,2
18034482,6
18034492,5
18037321,8
18037408,3
18037480,7
18039201,0
18040655,4
18040810,1
18042407,2
18042484,6
18042494,5
18045321,8
18045410,3
18045485,7
18047201,0
18048655,4
18048810,1
18050407,2
18050483,6
18050493,5
18053321,8
18053408,3
18053480,7
18055201,0
18056655,4
18056810,1
18058407,2
18058482,6
18058492,5
18061321,8
18061408,3
18061480,7
18063201,0
18064657,4
18064810,1
18066407,2
18066483,6
18066493,5
18069323,8
18069408,3
18069480,7
18071201,0
18072656,4
18072810,1
18074407,2
18074482,6
18074492,5
18077321,8
18077408,3
18077480,7
18079201,0
18080655,4
18080810,1
18082407,2
18082469,6
18082479,5
18085323,8
18085414,3
18085437,7
18087201,0
18088655,4
18088810,1
18090416,2
18090491,6
18090501,5
18093330,8
18093408,3
18093480,7
18095201,0
18096655,4
18096810,1
18098407,2
18098484,6
18098494,5
18101321,8
18101408,3
18101480,7
18103201,0
18104655,4
18104810,1
18106409,2
18106469,6
18106479,5
18109321,8
18109408,3
18109480,7
18111201,0
18112655,4
18112810,1
18114407,2
18114483,6
18114493,5
18117321,8
18117408,3
18117480,7
18119201,0
18120655,4
18120810,1
18122407,2
18122484,6
18122494,5
18125321,8
18125408,3
18125480,7
18127201,0
18128655,4
18128810,1
18130419,2
18130492,6
18130502,5
18133323,8
18133408,3
18133480,7
18135201,0
18136656,4
