timestamp,xtime,event
16957433,92,84
16957537,99,87
16960433,48,81
16961433,1385,82
16963237,238,80
16964676,47,83
16964733,118,86
16968435,26,85
16969437,92,84
16969541,99,87
16972433,48,81
16973431,803,82
16975225,241,80
16976676,47,83
16976733,118,86
16980435,26,85
16981433,92,84
16981537,99,87
16984436,47,81
16985435,462,82
16987225,216,80
16988676,47,83
16988733,118,86
16989950,478,72
16992442,25,85
16993437,92,84
16993541,116,87
16996437,50,81
16997436,455,82
16999229,178,80
17000682,47,83
17000739,282,86
17004473,27,85
17005454,89,84
17005555,102,87
17007077,80,88
17008452,51,81
17008539,43,88
17009454,82,82
17011232,298,80
17012710,35,83
17012757,19,86
17016452,21,85
17017458,30,84
17017500,89,87
17020452,51,81
17020539,43,88
17021454,477,82
17023239,232,80
17024709,34,83
17024754,182,86
17028452,25,85
17029457,92,84
17029561,113,87
17032452,47,81
17032536,44,88
17033454,686,82
17035227,236,80
17036702,36,83
17036749,177,86
17040452,26,85
17041456,88,84
17041556,99,87
17044452,47,81
17044536,44,88
17045454,455,82
17047243,233,80
17048709,34,83
17048755,177,86
17052452,26,85
17053456,88,84
17053556,99,87
17056452,47,81
17056536,44,88
17057454,607,82
17059227,232,80
17060709,35,83
17060756,177,86
17064452,26,85
17065458,88,84
17065558,99,87
17068452,61,81
17068549,44,88
17069454,456,82
17071231,233,80
17072710,39,83
17072761,181,86
17076452,26,85
17077456,89,84
17077556,105,87
17080452,47,81
17080536,44,88
17081456,686,82
17083227,240,80
17084709,35,83
17084756,177,86
17088452,26,85
17089457,88,84
17089557,101,87
17092452,47,81
17092536,44,88
17093454,473,82
17095232,233,80
17096710,38,83
17096760,181,86
17100452,26,85
17101457,89,84
17101557,101,87
17104452,47,81
17104536,51,88
17105442,497,82
17107231,231,80
17108665,38,83
17108714,178,86
17112452,26,85
17113457,88,84
17113557,101,87
17116452,47,81
17116536,44,88
17117444,684,82
17119227,229,80
17120709,34,83
17120755,177,86
17124452,26,85
17125439,105,84
17125556,102,87
17128452,47,81
17128536,44,88
17129464,614,82
17131232,235,80
17132709,34,83
17132755,177,86
17136452,26,85
17137441,106,84
17137559,101,87
17140452,47,81
17140536,44,88
17141450,718,82
17143231,241,80
17144709,33,83
17144754,177,86
17148452,26,85
17149452,103,84
17149566,113,87
17152452,47,81
17152536,44,88
17153465,726,82
17155227,240,80
17156709,35,83
17156756,177,86
17160452,26,85
17161452,103,84
17161566,113,87
17164452,47,81
17164536,44,88
17165466,482,82
17167231,229,80
17168709,35,83
17168756,177,86
17172452,26,85
17173452,135,84
17173598,109,87
17176452,47,81
17176536,44,88
17177449,699,82
17179227,231,80
17180709,35,83
17180756,177,86
17184452,26,85
17185452,135,84
17185598,109,87
17188452,47,81
17188536,44,88
17189450,639,82
17191227,231,80
17192700,47,83
17192756,178,86
17196452,26,85
17197452,135,84
17197599,108,87
17200452,47,81
17200536,44,88
17201450,732,82
17203227,233,80
17204709,35,83
17204756,178,86
17208452,26,85
17209452,88,84
17209552,144,87
17212452,47,81
17212536,213,72
17213450,502,82
17215232,231,80
17216709,35,83
17216756,177,86
17220452,26,85
17221452,88,84
17221552,101,87
17224452,47,81
17225465,735,82
17227243,242,80
17228709,35,83
17228756,177,86
17232452,26,85
17233452,88,84
17233552,101,87
17236452,47,81
17237450,498,82
17239232,230,80
17240709,35,83
17240756,177,86
17244452,26,85
17245452,88,84
17245552,101,87
17248452,47,81
17249465,737,82
17251237,237,80
17252709,35,83
17252756,177,86
17256452,26,85
17257452,88,84
17257552,104,87
17260452,47,81
17261450,604,82
17263229,242,80
17264710,39,83
17264760,182,86
17268452,26,85
17269452,88,84
17269552,101,87
17272452,47,81
17273467,701,82
17275240,246,80
17275978,66,88
17276709,47,83
17276768,177,86
17280452,26,85
17281452,88,84
17281552,103,87
17284452,47,81
17284536,42,88
17285474,459,82
17287235,230,80
17288672,37,83
17288721,177,86
17292452,26,85
17293452,88,84
17293552,101,87
17296452,47,81
17296536,44,88
17297464,679,82
17299244,253,80
17300690,47,83
17300747,178,86
17304452,26,85
17305452,89,84
17305552,102,87
17308452,47,81
17308536,45,88
17309452,549,82
17311234,204,80
17312712,34,83
17312758,177,86
17316452,26,85
17317452,88,84
17317552,101,87
17320452,47,81
17320536,44,88
17321466,678,82
17323236,232,80
17324709,35,83
17324756,177,86
17328452,26,85
17329452,88,84
17329552,101,87
17332452,47,81
17332536,44,88
17333450,1297,82
17335227,231,80
17336713,37,83
17336762,181,86
17340452,26,85
17341452,88,84
17341552,101,87
17344452,47,81
17344536,44,88
17345466,679,82
17347237,232,80
17348712,41,83
17348764,181,86
17352452,26,85
17353452,88,84
17353552,101,87
17356452,47,81
17356536,83,72
17357450,456,82
17359228,233,80
17360709,35,83
17360756,177,86
17364452,26,85
17365452,88,84
17365552,101,87
17368454,47,81
17369465,689,82
17371225,290,80
17372709,36,83
17372757,178,86
17376452,27,85
17377452,89,84
17377553,103,87
17380452,48,81
17381450,467,82
17383225,280,80
17384709,35,83
17384756,177,86
17388452,26,85
17389452,88,84
17389552,101,87
17392452,47,81
