timestamp,xtime,event
17041425,144,84
17041581,99,87
17044432,48,81
17045447,1549,82
17047230,189,80
17048671,47,83
17048727,128,86
17052437,26,85
17053430,110,84
17053551,99,87
17056416,48,81
17057430,93,82
17059225,267,80
17060671,47,83
17060727,29,86
17064437,17,85
17065460,52,84
17065524,93,87
17068427,48,81
17069421,498,82
17071225,224,80
17072671,45,83
17072726,128,86
17075220,487,72
17076429,26,85
17077429,144,84
17077585,116,87
17080415,49,81
17081425,726,82
17083229,179,80
17084676,48,83
17084733,291,86
17088430,27,85
17089430,133,84
17089574,116,87
17092414,47,81
17093398,19,40
17093431,112,82
17093554,89,88
17095225,290,80
17096672,47,83
17096728,37,86
17100426,16,85
17101427,25,84
17101502,155,87
17104411,48,81
17104824,49,88
17105431,524,82
17107227,244,80
17108671,44,83
17108725,187,86
17112428,26,85
17113427,149,84
17113587,102,87
17116411,48,81
17116824,52,88
17117423,896,82
17119228,201,80
17120671,51,83
17120732,183,86
17124426,25,85
17125427,149,84
17125587,105,87
17128411,48,81
17128815,52,88
17129445,117,82
17131225,271,80
17132675,45,83
17132730,33,86
17136427,17,85
17137425,21,84
17137539,121,87
17140411,48,81
17140816,50,88
17141421,504,82
17143232,238,80
17144671,44,83
17144725,180,86
17148426,25,85
17149427,102,84
17149541,149,87
17152414,47,81
17152822,52,88
17153431,725,82
17155227,202,80
17156671,45,83
17156726,180,86
17160426,25,85
17161425,102,84
17161539,148,87
17164411,48,81
17164815,52,88
17165424,76,82
17167225,265,80
17168671,47,83
17168728,32,86
17172428,17,85
17173427,21,84
17173516,142,87
17176414,47,81
17176822,50,88
17177424,886,82
17179227,236,80
17180671,44,83
17180725,180,86
17184428,25,85
17185427,102,84
17185541,148,87
17188411,48,81
17188816,51,88
17189423,515,82
17191230,205,80
17192675,45,83
17192730,184,86
17196426,29,85
17197427,106,84
17197544,137,87
17200411,48,81
17200815,52,88
17201424,81,82
17203225,267,80
17204674,45,83
17204729,33,86
17208427,17,85
17209428,20,84
17209512,138,87
17212414,47,81
17212826,50,88
17213421,865,82
17215227,226,80
17216673,45,83
17216728,180,86
17220431,25,85
17221427,106,84
17221544,151,87
17224411,48,81
17224811,52,88
17225433,512,82
17227232,209,80
17228671,45,83
17228726,180,86
