timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
17075507,2,-1,0,14,0,0,1,0,0,0,0,0,0,0
24824391,2,-1,0,14,0,0,1,0,0,0,0,0,0,0
24952013,2,0,1,14,0,0,1,0,0,0,0,0,0,0
30652552,2,1,2,14,0,0,1,0,0,0,0,0,0,0
37175013,2,2,3,14,0,0,1,0,0,0,0,0,0,0
40341511,2,3,4,14,0,0,1,0,0,0,0,0,0,0
44399261,2,4,5,14,0,0,1,0,0,0,0,0,0,0
54216654,2,5,6,14,0,0,1,0,0,0,0,0,0,0
62365006,2,6,7,14,0,0,1,0,0,0,0,0,0,0
72985121,2,7,8,14,0,0,1,0,0,0,0,0,0,0
89908013,2,8,9,14,0,0,1,0,0,0,0,0,0,0
97589138,2,9,10,14,0,0,1,0,0,0,0,0,0,0
122446762,2,10,11,14,0,0,1,0,0,0,0,0,0,0
144449131,2,11,12,14,0,0,1,0,0,0,0,0,0,0
152577392,2,12,13,14,0,0,1,0,0,0,0,0,0,0
168051165,2,13,13,14,0,0,1,0,0,0,0,0,0,0
182626426,2,13,13,14,0,0,1,0,1,0,0,0,0,0
183535428,3,-1,0,14,0,0,1,0,0,0,0,0,0,0
