t,y
0.0,0.0
7171.428571428571,502.0
10000.0,502.0
21014.285714285714,1273.0
21014.285714285714,1273.0
21014.285714285714,1335.0
30006.0,1335.0
40091.71428571428,2041.0
40091.71428571428,2041.0
47314.28571428571,2553.0
50004.0,2553.0
61004.0,3323.0
61004.0,3323.0
61004.0,3383.0
70000.0,3383.0
77471.42857142857,3906.0
80004.0,3906.0
90361.14285714286,4631.0
90361.14285714286,4631.0
99757.14285714286,5314.0
99757.14285714286,5314.0
100971.42857142857,5382.0
110000.0,5382.0
121414.28571428571,6181.0
121414.28571428571,6181.0
127357.14285714286,6696.0
130006.0,6696.0
141506.0,7501.0
141506.0,7501.0
141506.0,7562.0
150000.0,7562.0
157742.85714285713,8104.0
160000.0,8104.0
169100.0,8741.0
170000.0,8741.0
181542.85714285713,9549.0
181542.85714285713,9549.0
181542.85714285713,9609.0
190000.0,9609.0
198242.85714285713,10186.0
200004.0,10186.0
210361.14285714287,10911.0
210361.14285714287,10911.0
217057.14285714287,11405.0
220000.0,11405.0
220971.42857142858,11473.0
230007.0,11473.0
237635.57142857142,12007.0
240000.0,12007.0
252271.42857142858,12866.0
252271.42857142858,12866.0
257628.57142857142,13400.0
260004.0,13400.0
261032.57142857142,13472.0
270004.0,13472.0
280961.14285714284,14239.0
280961.14285714284,14239.0
287314.28571428574,14751.0
290000.0,14751.0
301100.0,15528.0
301100.0,15528.0
309185.71428571426,16171.0
309185.71428571426,16171.0
322304.0,17032.0
322304.0,17032.0
322304.0,17093.0
330006.0,17093.0
337763.14285714284,17636.0
340000.0,17636.0
357328.5714285714,18849.0
357328.5714285714,18849.0
361857.14285714284,19679.0
361857.14285714284,19679.0
361857.14285714284,19739.0
361857.14285714284,19739.0
379942.85714285716,20435.0
380004.0,20435.0
390104.0,21142.0
390104.0,21142.0
397528.5714285714,21669.0
400000.0,21669.0
401114.28571428574,21747.0
410000.0,21747.0
420900.0,22510.0
420900.0,22510.0
427200.0,23014.0
430006.0,23014.0
437191.71428571426,23517.0
440004.0,23517.0
440875.4285714286,23578.0
450000.0,23578.0
463457.14285714284,24520.0
463457.14285714284,24520.0
467071.4285714286,25015.0
467071.4285714286,25015.0
481100.0,25792.0
481100.0,25792.0
481100.0,25852.0
490004.0,25852.0
497175.4285714286,26354.0
500004.0,26354.0
510118.28571428574,27062.0
510118.28571428574,27062.0
519442.85714285716,27723.0
520000.0,27723.0
521114.28571428574,27801.0
530007.0,27801.0
537892.7142857143,28353.0
540000.0,28353.0
549985.7142857143,29052.0
550000.0,29052.0
557185.7142857143,29555.0
560004.0,29555.0
560875.4285714285,29616.0
570004.0,29616.0
581461.1428571428,30418.0
581461.1428571428,30418.0
589000.0,31048.0
589000.0,31048.0
600900.0,31811.0
600900.0,31811.0
600900.0,31871.0
610004.0,31871.0
617175.4285714285,32373.0
620000.0,32373.0
630714.2857142857,33123.0
630714.2857142857,33123.0
639649.8571428572,33798.0
639649.8571428572,33798.0
641128.5714285715,33877.0
650004.0,33877.0
657661.1428571428,34413.0
660000.0,34413.0
670142.8571428572,35123.0
670142.8571428572,35123.0
678014.2857142857,35684.0
680004.0,35684.0
680889.7142857143,35746.0
690000.0,35746.0
701042.8571428572,36519.0
701042.8571428572,36519.0
708985.7142857143,37148.0
708985.7142857143,37148.0
722657.1428571428,38034.0
722657.1428571428,38034.0
722657.1428571428,38093.0
730007.0,38093.0
737164.1428571428,38594.0
740043.0,38594.0
750271.5714285715,39310.0
750271.5714285715,39310.0
769975.4285714285,40708.0
769975.4285714285,40708.0
769975.4285714285,41269.0
769975.4285714285,41269.0
781614.2857142857,42082.0
781614.2857142857,42082.0
781614.2857142857,42145.0
781614.2857142857,42145.0
797171.4285714285,42647.0
800004.0,42647.0
810132.5714285715,43356.0
810132.5714285715,43356.0
818985.7142857143,43985.0
820000.0,43985.0
820971.4285714285,44053.0
830006.0,44053.0
840863.1428571428,44813.0
840863.1428571428,44813.0
847071.4285714285,45308.0
850004.0,45308.0
860904.0,46071.0
860904.0,46071.0
860904.0,46132.0
870000.0,46132.0
879300.0,46783.0
880000.0,46783.0
887057.1428571428,47277.0
890004.0,47277.0
900932.5714285715,48042.0
900932.5714285715,48042.0
900932.5714285715,48102.0
910000.0,48102.0
917328.5714285715,48615.0
920000.0,48615.0
927328.5714285715,49128.0
930006.0,49128.0
940806.0,49884.0
940806.0,49884.0
940971.4285714285,49952.0
950000.0,49952.0
957185.7142857143,50455.0
960000.0,50455.0
972300.0,51316.0
972300.0,51316.0
977285.7142857143,51826.0
980004.0,51826.0
981032.5714285715,51898.0
990000.0,51898.0
1000814.2857142857,52655.0
1000814.2857142857,52655.0
1007457.1428571428,53177.0
1010000.0,53177.0
1021685.7142857143,53995.0
1021685.7142857143,53995.0
1021685.7142857143,54054.0
1030006.0,54054.0
1039948.8571428572,54750.0
1040004.0,54750.0
1050118.2857142857,55458.0
1050118.2857142857,55458.0
1057071.4285714286,55953.0
1060000.0,55953.0
1060985.7142857143,56022.0
1070000.0,56022.0
1077314.2857142857,56534.0
1080000.0,56534.0
1089942.857142857,57230.0
1090000.0,57230.0
1099057.142857143,57864.0
1100004.0,57864.0
1101089.7142857143,57940.0
1110004.0,57940.0
1122375.4285714286,58806.0
1122375.4285714286,58806.0
1127300.0,59317.0
1130007.0,59317.0
1140849.857142857,60076.0
1140849.857142857,60076.0
1140857.142857143,60136.0
1150000.0,60136.0
1168328.5714285714,61419.0
1168328.5714285714,61419.0
1169600.0,62091.0
1169600.0,62091.0
1181057.142857143,62865.0
1181057.142857143,62865.0
1181057.142857143,62934.0
1190004.0,62934.0
1197118.2857142857,63432.0
1200000.0,63432.0
1209928.5714285714,64127.0
1210000.0,64127.0
1219500.0,64792.0
1220000.0,64792.0
1220871.4285714286,64853.0
1230006.0,64853.0
1271763.142857143,67776.0
1271763.142857143,67776.0
1271763.142857143,68289.0
1271763.142857143,68289.0
1292578.4285714286,71269.0
1292578.4285714286,71269.0
1292578.4285714286,71337.0
1292578.4285714286,71337.0
1292578.4285714286,71852.0
1292578.4285714286,71852.0
1292578.4285714286,72386.0
1292578.4285714286,72386.0
1334014.2857142857,75467.0
1334014.2857142857,75467.0
1334014.2857142857,75981.0
1334014.2857142857,75981.0
1352348.857142857,78945.0
1352348.857142857,78945.0
1352348.857142857,79004.0
1352348.857142857,79004.0
1352348.857142857,79507.0
1352348.857142857,79507.0
1382318.2857142857,82469.0
1382318.2857142857,82469.0
1382318.2857142857,83169.0
1382318.2857142857,83169.0
1382318.2857142857,83229.0
1382318.2857142857,83229.0
1412400.0,86197.0
1412400.0,86197.0
1412400.0,86257.0
1412400.0,86257.0
1412400.0,86783.0
1412400.0,86783.0
1442214.2857142857,89738.0
1442214.2857142857,89738.0
1451371.4285714286,92634.0
1451371.4285714286,92634.0
1451371.4285714286,93174.0
1451371.4285714286,93174.0
1451371.4285714286,93904.0
1451371.4285714286,93904.0
1481800.0,96830.0
1481800.0,96830.0
1481800.0,97345.0
1481800.0,97345.0
1481800.0,97425.0
1481800.0,97425.0
1511918.2857142857,100359.0
1511918.2857142857,100359.0
1511918.2857142857,100419.0
1511918.2857142857,100419.0
1511918.2857142857,100962.0
1511918.2857142857,100962.0
1511918.2857142857,101489.0
1511918.2857142857,101489.0
1555771.4285714286,104693.0
1555771.4285714286,104693.0
1555771.4285714286,104763.0
1555771.4285714286,104763.0
1571885.7142857143,107695.0
1571885.7142857143,107695.0
1571885.7142857143,108959.0
1571885.7142857143,108959.0
1592914.2857142857,111963.0
1592914.2857142857,111963.0
1592914.2857142857,112023.0
1592914.2857142857,112023.0
1592914.2857142857,112557.0
1592914.2857142857,112557.0
1592914.2857142857,112618.0
1592914.2857142857,112618.0
1600057.142857143,113322.0
1600057.142857143,113322.0
1607600.0,113854.0
1607600.0,113854.0
1652328.5714285714,116817.0
1652328.5714285714,116817.0
1652328.5714285714,116876.0
1652328.5714285714,116876.0
1652328.5714285714,117398.0
1652328.5714285714,117398.0
1682975.4285714286,120406.0
1682975.4285714286,120406.0
1682975.4285714286,121100.0
1682975.4285714286,121100.0
1682975.4285714286,121169.0
1682975.4285714286,121169.0
1712632.5714285714,124153.0
1712632.5714285714,124153.0
1712632.5714285714,124213.0
1712632.5714285714,124213.0
1712632.5714285714,124735.0
1712632.5714285714,124735.0
1742232.5714285714,127691.0
1742232.5714285714,127691.0
1742232.5714285714,128205.0
1742232.5714285714,128205.0
1742232.5714285714,128273.0
1742232.5714285714,128273.0
1775132.5714285714,131432.0
1775132.5714285714,131432.0
1775132.5714285714,131492.0
1775132.5714285714,131492.0
1793542.857142857,134540.0
1793542.857142857,134540.0
