timestamp,xtime,event
17019430,453,82
17021424,37,83
17021568,106,87
17023214,232,80
17024672,93,84
17025721,53,81
17026427,25,85
17026502,134,86
17027427,690,82
17029426,40,83
17029570,107,87
17031214,260,80
17032674,89,84
17032891,478,72
17033721,53,81
17034427,33,85
17034505,305,86
17035253,37,88
17035427,485,82
17037195,48,88
17037428,37,83
17037579,122,87
17039218,218,80
17040676,94,84
17041725,59,81
17042428,31,85
17042506,189,86
17043427,91,82
17045195,46,88
17045428,38,83
17045572,89,87
17047218,136,80
17048677,34,84
17049727,29,81
17050426,17,85
17050515,29,86
17051428,485,82
17053195,44,88
17053426,34,83
17053575,102,87
17055234,327,80
17056671,93,84
17057721,57,81
17058427,32,85
17058504,186,86
17059450,716,82
17061196,48,88
17061430,37,83
17061583,106,87
17063214,215,80
17064674,94,84
17065721,57,81
17066425,25,85
17066498,186,86
17067427,820,82
17069193,44,88
17069426,37,83
17069575,102,87
17071214,265,80
17072674,97,84
17073721,57,81
17074425,25,85
17074498,186,86
17075427,458,82
17077191,44,88
17077424,37,83
17077572,102,87
17079214,271,80
17080671,93,84
17081721,58,81
17082427,33,85
17082502,186,86
17083427,475,82
17085191,51,88
17085424,37,83
17085572,102,87
17087214,233,80
17088674,97,84
17089721,57,81
17090425,25,85
17090498,186,86
17091427,458,82
17093195,52,88
17093427,37,83
17093576,102,87
17095214,263,80
17096674,97,84
17097721,61,81
17098425,29,85
17098498,190,86
17099427,690,82
17101193,48,88
17101426,40,83
17101575,102,87
17103214,277,80
17104674,94,84
17105721,57,81
17106425,32,85
17106502,186,86
17107427,474,82
17109193,44,88
17109444,35,83
17109593,102,87
17111214,237,80
17112674,94,84
17113721,57,81
17114425,25,85
17114498,186,86
17115427,675,82
17117193,48,88
17117426,36,83
17117575,102,87
17119214,229,80
17120674,94,84
17121721,57,81
17122427,26,85
17122502,186,86
17123427,76,82
17125191,43,88
17125424,36,83
17125572,97,87
17127214,295,80
17128671,21,84
17129723,58,81
17130433,30,85
17130511,30,86
17131439,477,82
17133191,44,88
17133426,34,83
17133575,102,87
17135214,231,80
17136674,94,84
17137721,57,81
17138427,26,85
17138503,186,86
17139427,604,82
17141191,44,88
17141436,37,83
17141583,102,87
17143214,247,80
17144671,93,84
17145721,57,81
17146425,25,85
17146498,186,86
17147427,458,82
17149197,60,88
17149427,37,83
17149576,111,87
17151214,268,80
17152672,93,84
17153725,58,81
17154425,39,85
17154501,190,86
17155427,691,82
17157191,44,88
17157426,37,83
17157575,102,87
17159214,216,80
17160674,94,84
17161721,57,81
17162427,26,85
17162502,186,86
17163427,76,82
17165191,43,88
17165424,37,83
17165572,97,87
17167214,270,80
17168671,21,84
17169723,58,81
17170436,21,85
17170511,30,86
17171427,458,82
17173191,44,88
17173426,34,83
17173575,106,87
17175214,273,80
17176687,93,84
17177721,57,81
17178425,32,85
17178502,186,86
17179427,690,82
17181193,44,88
17181426,35,83
17181575,102,87
17183214,234,80
17184686,94,84
17185721,57,81
17186425,25,85
17186498,186,86
17187427,458,82
17189213,60,88
17189429,36,83
17189576,102,87
17191214,230,80
17192674,94,84
17193721,57,81
17194427,26,85
17194503,186,86
17195437,78,82
17197191,43,88
17197424,37,83
17197572,97,87
17199214,292,80
17200671,21,84
17201721,58,81
17202427,17,85
17202502,30,86
17203427,491,82
17205191,44,88
17205427,33,83
17205576,102,87
17207214,233,80
17208674,97,84
17209721,57,81
17210425,25,85
17210498,186,86
17211428,687,82
17213197,43,88
17213426,36,83
17213575,102,87
17215214,244,80
17216674,94,84
17217721,57,81
17218425,25,85
17218498,186,86
17219427,618,82
17221191,51,88
17221424,37,83
17221572,105,87
17223214,247,80
17224674,93,84
17225721,57,81
17226425,32,85
17226502,186,86
17227427,104,82
17229191,43,88
17229424,36,83
17229572,97,87
17231214,249,80
17232671,21,84
17233721,58,81
17234425,16,85
17234498,30,86
17235428,470,82
17237202,217,40
17237434,34,83
17237477,32,72
17237598,102,87
17238082,36,88
17239214,246,80
17240671,93,84
17241721,57,81
17242427,25,85
17242502,186,86
17243427,687,82
17245207,54,88
17245427,35,83
17245578,103,87
17247214,271,80
17248674,94,84
17249722,57,81
17250425,32,85
17250502,186,86
17251429,475,82
17253191,54,88
17253424,37,83
17253572,102,87
17255214,237,80
17256671,97,84
17257721,61,81
17258427,29,85
17258502,189,86
17259437,692,82
17261191,44,88
17261424,37,83
17261572,102,87
17263214,232,80
17264672,93,84
17265721,57,81
17266427,25,85
17266502,186,86
17267427,89,82
17269191,43,88
17269426,37,83
17269575,97,87
17271214,320,80
17272674,21,84
17273721,57,81
17274427,17,85
17274502,30,86
17275441,476,82
17277191,54,88
17277424,34,83
17277572,102,87
17279214,250,80
17280671,93,84
17281721,57,81
17282427,26,85
17282502,186,86
17283427,1506,82
17285194,46,88
17285441,37,83
17285592,102,87
17287214,245,80
17288671,93,84
17289723,58,81
17290436,29,85
17290511,186,86
17291428,607,82
17293191,44,88
17293427,35,83
17293576,102,87
17295214,246,80
17296688,93,84
17297721,57,81
17298425,32,85
17298502,186,86
17299428,92,82
17301191,43,88
17301424,36,83
17301572,97,87
17303214,249,80
17304671,21,84
17305721,58,81
17306427,16,85
17306502,30,86
17307427,472,82
17309191,88,72
17309426,35,83
17309575,103,87
17311214,245,80
17312674,98,84
17313721,58,81
17314425,26,85
17314498,187,86
17315427,689,82
17317426,43,83
17317579,106,87
17319214,247,80
17320674,98,84
17321721,61,81
17322425,25,85
17322507,190,86
17323427,107,82
17325424,35,83
17325572,97,87
17327214,262,80
17328675,27,84
17329582,134,40
17329729,57,81
17329797,55,88
17330427,17,85
17330510,32,86
17331427,471,82
17333191,48,88
17333424,34,83
17333572,103,87
17335214,246,80
17336675,93,84
17337721,57,81
17338427,26,85
17338503,186,86
17339427,675,82
17341193,44,88
17341440,37,83
17341592,102,87
17343214,278,80
17344674,94,84
17345721,57,81
17346427,26,85
17346510,186,86
17347427,484,82
17349202,48,88
17349427,37,83
17349576,102,87
17351214,232,80
17352671,93,84
17353723,58,81
17354425,32,85
17354498,189,86
17355427,675,82
17357191,44,88
17357426,37,83
17357575,102,87
17359214,230,80
17360674,94,84
17361721,57,81
17362425,25,85
17362498,186,86
17363427,76,82
17365191,43,88
17365424,36,83
17365572,97,87
17367214,284,80
17368671,21,84
17369723,58,81
17370435,30,85
17370510,30,86
17371427,627,82
17373191,44,88
17373426,34,83
17373575,102,87
17375214,232,80
17376674,94,84
17377721,57,81
17378425,25,85
17378498,186,86
17379435,460,82
17381191,44,88
17381424,36,83
17381572,102,87
17383214,264,80
17384674,98,84
17385721,57,81
17386427,26,85
17386502,185,86
17387427,688,82
17389205,54,88
17389426,37,83
17389575,102,87
17391214,244,80
17392674,95,84
17393721,57,81
17394427,33,85
17394502,185,86
17395427,104,82
17397191,43,88
17397424,37,83
17397572,97,87
17399214,249,80
17400671,21,84
17401721,57,81
17402425,16,85
17402498,30,86
17403427,457,82
17405191,44,88
17405427,35,83
17405576,102,87
17407214,246,80
17408679,93,84
17409721,57,81
17410425,25,85
17410498,184,86
17411427,688,82
17413193,44,88
17413444,37,83
17413596,99,87
17415214,277,80
17416675,94,84
17417721,61,81
17418425,25,85
17418504,202,86
17419427,507,82
17421197,48,88
17421441,36,83
17421590,102,87
17423214,217,80
17424687,90,84
17425721,57,81
17426427,35,85
17426502,185,86
17427427,76,82
17429191,43,88
17429424,37,83
17429572,97,87
17431214,272,80
17432671,21,84
17433721,57,81
17434425,16,85
17434498,30,86
17435427,690,82
17437193,48,88
17437426,35,83
17437575,102,87
17439214,269,80
17440686,91,84
17441721,57,81
17442425,32,85
17442502,185,86
17443427,633,82
17445197,222,40
17445434,37,83
17445480,31,72
17445572,102,87
17447214,234,80
17448683,90,84
17449723,61,81
17450427,29,85
17450502,185,86
17451427,675,82
17453426,37,83
17453575,105,87
17455214,229,80
17456686,91,84
17457721,58,81
17458425,25,85
17458498,184,86
17459427,114,82
17461424,36,83
17461572,99,87
17463214,285,80
17464671,21,84
17465721,57,81
17466427,16,85
17466502,30,86
17467430,462,82
17469426,35,83
17469575,102,87
17471214,235,80
17472674,95,84
17473721,57,81
17474425,25,85
17474498,184,86
17475427,472,82
17477424,35,83
17477572,102,87
17479214,247,80
17480671,91,84
17481721,57,81
17482427,26,85
17482502,185,86
17483427,690,82
17485424,37,83
17485572,102,87
17487214,285,80
17488674,95,84
17489721,57,81
17490425,32,85
17490502,185,86
17491427,496,82
17493431,35,83
17493577,102,87
17495214,223,80
17496671,91,84
17497721,57,81
17498427,26,85
17498502,185,86
17499428,76,82
17501424,37,83
17501572,97,87
17503214,270,80
17504671,21,84
17505721,58,81
17506425,16,85
17506498,30,86
17507427,675,82
17509426,41,83
17509578,106,87
17510376,68,88
17511214,287,80
17512674,98,84
17513721,58,81
17514425,25,85
17514507,188,86
17515427,621,82
17517194,45,88
17517427,37,83
17517576,103,87
17519214,233,80
17520676,91,84
17521721,57,81
17522425,25,85
17522498,184,86
17523427,676,82
17525193,44,88
17525426,44,83
17525578,102,87
17527214,233,80
17528674,91,84
17529721,58,81
17530425,25,85
17530498,184,86
17531427,76,82
17533191,43,88
17533424,37,83
17533572,97,87
17535214,286,80
17536675,21,84
17537721,57,81
17538427,17,85
17538502,30,86
17539429,482,82
17541191,44,88
17541424,35,83
17541572,115,87
17543214,237,80
17544671,92,84
17545721,60,81
17546425,27,85
17546498,188,86
17547427,676,82
17549199,60,88
17549427,39,83
17549576,102,87
17551214,245,80
17552671,91,84
17553723,58,81
17554425,32,85
17554498,188,86
17555427,458,82
17557191,44,88
17557426,37,83
