timestamp,xtime,event
17045435,480,82
17048671,47,83
17048727,128,86
17052426,26,85
17053437,98,84
17053546,102,87
17056413,47,81
17057435,828,82
17059231,225,80
17060671,46,83
17060726,128,86
17064426,26,85
17065437,98,84
17065546,101,87
17068410,52,81
17069435,481,82
17071229,228,80
17072671,47,83
17072728,128,86
17074062,495,72
17075778,36,88
17076427,26,85
17077429,101,84
17077542,126,87
17080416,49,81
17080674,43,88
17081425,849,82
17083229,204,80
17084676,49,83
17084735,298,86
17088430,27,85
17089429,102,84
17089543,98,87
17092412,51,81
17092674,49,88
17093423,708,82
17095230,261,80
17096677,50,83
17096737,180,86
17100425,29,85
17101425,106,84
17101543,101,87
17104410,48,81
17104695,47,88
17105423,580,82
17107230,282,80
17108673,47,83
17108729,180,86
17112426,26,85
17113428,102,84
17113541,102,87
17116410,48,81
17116695,46,88
17117426,486,82
17119230,225,80
17120672,45,83
17120727,179,86
17124427,26,85
17125425,102,84
17125539,101,87
17128413,47,81
17128698,46,88
17129421,1180,82
17131230,227,80
17132674,46,83
17132730,179,86
17136425,25,85
17137425,102,84
17137539,101,87
17140410,48,81
17140695,46,88
17141421,837,82
17143230,232,80
17144671,45,83
17144726,180,86
17148427,26,85
17149427,102,84
17149541,101,87
17152410,48,81
17152695,46,88
17153423,475,82
17155230,240,80
17156671,47,83
17156727,180,86
17160426,26,85
17161425,102,84
17161539,101,87
17164410,48,81
17164696,46,88
17165421,475,82
17167230,238,80
17168675,45,83
17168730,180,86
17172426,26,85
17173425,102,84
17173539,101,87
17176410,48,81
17176695,46,88
17177421,692,82
17179230,266,80
17180671,46,83
17180726,180,86
17184425,25,85
17185427,102,84
17185541,102,87
17188414,48,81
17188675,44,88
17189438,487,82
17191256,237,80
17192676,45,83
17192731,180,86
17196425,25,85
17197425,102,84
17197539,101,87
17200410,48,81
17200696,46,88
17201424,691,82
17203230,227,80
17204671,47,83
17204727,180,86
17208426,26,85
17209428,102,84
17209541,102,87
17212410,48,81
17212695,46,88
17213424,623,82
17215230,271,80
17216671,47,83
17216727,180,86
17220425,25,85
17221427,102,84
17221541,101,87
17224412,48,81
17224697,46,88
17225424,474,82
17227230,240,80
17228672,47,83
17228728,180,86
17232425,25,85
17233427,106,84
17233545,105,87
17236416,47,81
17236674,45,88
17237423,692,82
17239230,240,80
17240672,58,83
17240740,180,86
17244426,26,85
17245425,102,84
17245539,104,87
17248410,48,81
17248695,46,88
17249424,692,82
17251230,259,80
17252674,47,83
17252731,179,86
17256425,25,85
17257425,102,84
17257539,101,87
17260413,47,81
17260698,46,88
17261434,486,82
17263230,238,80
17264671,47,83
17264727,180,86
17268426,26,85
17269428,102,84
17269541,102,87
17272410,48,81
17272695,46,88
17273421,692,82
17275230,228,80
17276671,47,83
17276727,180,86
17280427,26,85
17281428,102,84
17281542,101,87
17284410,48,81
17284695,230,72
17285421,621,82
17287230,239,80
17288671,46,83
17288726,180,86
17292425,25,85
17293427,102,84
17293541,101,87
17296412,48,81
17297421,701,82
17299229,231,80
17300671,47,83
17300727,180,86
17304425,25,85
17305427,102,84
17305541,101,87
17308412,48,81
17309423,468,82
17311230,229,80
17312671,47,83
17312727,180,86
17316426,26,85
17317425,102,84
17317539,101,87
17320410,48,81
17321424,691,82
17323230,265,80
17324671,48,83
17324729,184,86
17328425,26,85
17328959,77,72
17329160,175,88
17329429,100,84
17329540,105,87
17332413,48,81
17332674,43,88
17333429,486,82
17335230,242,80
17336671,47,83
17336727,180,86
17340426,26,85
17341425,102,84
17341539,101,87
