timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
17074327,2,-1,0,6,0,0,1,0,0,0,0,0,0,0
24877238,2,-1,0,6,0,0,1,0,0,0,0,0,0,0
25005382,2,0,1,6,0,0,1,0,0,0,0,0,0,0
30843376,2,1,2,6,0,0,1,0,0,0,0,0,0,0
37004020,2,2,3,6,0,0,1,0,0,0,0,0,0,0
41056926,2,3,4,6,0,0,1,0,0,0,0,0,0,0
44958966,2,4,5,6,0,0,1,0,0,0,0,0,0,0
49149011,2,5,5,6,0,0,1,0,0,0,0,0,0,0
59344916,2,5,5,6,0,0,1,0,1,0,0,0,0,0
59452262,3,-1,0,6,0,0,1,0,0,0,0,0,0,0
